id,displayName,location,name,shortDisplayName,abbreviation,color,alternateColor,logoURL,league
331,Brighton & Hove Albion,Brighton & Hove Albion,Brighton & Hove Albion,Brighton,BHA,0606fa,ffdd00,https://a.espncdn.com/i/teamlogos/soccer/500/331.png,PREM
337,Brentford,Brentford,Brentford,Brentford,BRE,f42727,f8ced9,https://a.espncdn.com/i/teamlogos/soccer/500/337.png,PREM
349,AFC Bournemouth,AFC Bournemouth,AFC Bournemouth,Bournemouth,BOU,f42727,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/349.png,PREM
357,Leeds United,Leeds United,Leeds United,Leeds,LEE,ffffff,ffff00,https://a.espncdn.com/i/teamlogos/soccer/500/357.png,PREM
359,Arsenal,Arsenal,Arsenal,Arsenal,ARS,e20520,132257,https://a.espncdn.com/i/teamlogos/soccer/500/359.png,PREM
360,Manchester United,Manchester United,Manchester United,Man United,MAN,da020e,144992,https://a.espncdn.com/i/teamlogos/soccer/500/360.png,PREM
361,Newcastle United,Newcastle United,Newcastle United,Newcastle,NEW,000000,cd1937,https://a.espncdn.com/i/teamlogos/soccer/500/361.png,PREM
362,Aston Villa,Aston Villa,Aston Villa,Aston Villa,AVL,660e36,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/362.png,PREM
363,Chelsea,Chelsea,Chelsea,Chelsea,CHE,144992,ffeeee,https://a.espncdn.com/i/teamlogos/soccer/500/363.png,PREM
364,Liverpool,Liverpool,Liverpool,Liverpool,LIV,d11317,132257,https://a.espncdn.com/i/teamlogos/soccer/500/364.png,PREM
366,Sunderland,Sunderland,Sunderland,Sunderland,SUN,EB172B,87cced,https://a.espncdn.com/i/teamlogos/soccer/500/366.png,PREM
367,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Spurs,TOT,ffffff,9bafd8,https://a.espncdn.com/i/teamlogos/soccer/500/367.png,PREM
368,Everton,Everton,Everton,Everton,EVE,0606fa,132257,https://a.espncdn.com/i/teamlogos/soccer/500/368.png,PREM
370,Fulham,Fulham,Fulham,Fulham,FUL,ffffff,d11317,https://a.espncdn.com/i/teamlogos/soccer/500/370.png,PREM
371,West Ham United,West Ham United,West Ham United,West Ham,WHU,7c2c3b,000000,https://a.espncdn.com/i/teamlogos/soccer/500/371.png,PREM
379,Burnley,Burnley,Burnley,Burnley,BUR,6C1D45,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/379.png,PREM
380,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolves,WOL,fdb913,cd1937,https://a.espncdn.com/i/teamlogos/soccer/500/380.png,PREM
382,Manchester City,Manchester City,Manchester City,Man City,MNC,99c5ea,e6ff00,https://a.espncdn.com/i/teamlogos/soccer/500/382.png,PREM
384,Crystal Palace,Crystal Palace,Crystal Palace,C Palace,CRY,0202fb,ffdd00,https://a.espncdn.com/i/teamlogos/soccer/500/384.png,PREM
393,Nottingham Forest,Nottingham Forest,Nottingham Forest,Nottm Forest,NFO,c8102e,132257,https://a.espncdn.com/i/teamlogos/soccer/500/393.png,PREM
