league,id,displayName,location,name,shortDisplayName,abbreviation,color,alternateColor,logoURL
NBA,1,Atlanta Hawks,Atlanta,Hawks,Hawks,ATL,c8102e,fdb927,https://a.espncdn.com/i/teamlogos/nba/500/atl.png
NBA,2,Boston Celtics,Boston,Celtics,Celtics,BOS,008348,ffffff,https://a.espncdn.com/i/teamlogos/nba/500/bos.png
NBA,3,New Orleans Pelicans,New Orleans,Pelicans,Pelicans,NO,0a2240,b4975a,https://a.espncdn.com/i/teamlogos/nba/500/no.png
NBA,4,Chicago Bulls,Chicago,Bulls,Bulls,CHI,ce1141,000000,https://a.espncdn.com/i/teamlogos/nba/500/chi.png
NBA,5,Cleveland Cavaliers,Cleveland,Cavaliers,Cavaliers,CLE,860038,bc945c,https://a.espncdn.com/i/teamlogos/nba/500/cle.png
NBA,6,Dallas Mavericks,Dallas,Mavericks,Mavericks,DAL,0064b1,bbc4ca,https://a.espncdn.com/i/teamlogos/nba/500/dal.png
NBA,7,Denver Nuggets,Denver,Nuggets,Nuggets,DEN,0e2240,fec524,https://a.espncdn.com/i/teamlogos/nba/500/den.png
NBA,8,Detroit Pistons,Detroit,Pistons,Pistons,DET,1d428a,c8102e,https://a.espncdn.com/i/teamlogos/nba/500/det.png
NBA,9,Golden State Warriors,Golden State,Warriors,Warriors,GS,fdb927,1d428a,https://a.espncdn.com/i/teamlogos/nba/500/gs.png
NBA,10,Houston Rockets,Houston,Rockets,Rockets,HOU,ce1141,000000,https://a.espncdn.com/i/teamlogos/nba/500/hou.png
NBA,11,Indiana Pacers,Indiana,Pacers,Pacers,IND,0c2340,ffd520,https://a.espncdn.com/i/teamlogos/nba/500/ind.png
NBA,12,LA Clippers,LA,Clippers,Clippers,LAC,12173f,c8102e,https://a.espncdn.com/i/teamlogos/nba/500/lac.png
NBA,13,Los Angeles Lakers,Los Angeles,Lakers,Lakers,LAL,552583,fdb927,https://a.espncdn.com/i/teamlogos/nba/500/lal.png
NBA,14,Miami Heat,Miami,Heat,Heat,MIA,98002e,000000,https://a.espncdn.com/i/teamlogos/nba/500/mia.png
NBA,15,Milwaukee Bucks,Milwaukee,Bucks,Bucks,MIL,00471b,eee1c6,https://a.espncdn.com/i/teamlogos/nba/500/mil.png
NBA,16,Minnesota Timberwolves,Minnesota,Timberwolves,Timberwolves,MIN,266092,79bc43,https://a.espncdn.com/i/teamlogos/nba/500/min.png
NBA,17,Brooklyn Nets,Brooklyn,Nets,Nets,BKN,000000,ffffff,https://a.espncdn.com/i/teamlogos/nba/500/bkn.png
NBA,18,New York Knicks,New York,Knicks,Knicks,NY,1d428a,f58426,https://a.espncdn.com/i/teamlogos/nba/500/ny.png
NBA,19,Orlando Magic,Orlando,Magic,Magic,ORL,0150b5,9ca0a3,https://a.espncdn.com/i/teamlogos/nba/500/orl.png
NBA,20,Philadelphia 76ers,Philadelphia,76ers,76ers,PHI,1d428a,e01234,https://a.espncdn.com/i/teamlogos/nba/500/phi.png
NBA,21,Phoenix Suns,Phoenix,Suns,Suns,PHX,29127a,e56020,https://a.espncdn.com/i/teamlogos/nba/500/phx.png
NBA,22,Portland Trail Blazers,Portland,Trail Blazers,Trail Blazers,POR,e03a3e,000000,https://a.espncdn.com/i/teamlogos/nba/500/por.png
NBA,23,Sacramento Kings,Sacramento,Kings,Kings,SAC,5a2d81,6a7a82,https://a.espncdn.com/i/teamlogos/nba/500/sac.png
NBA,24,San Antonio Spurs,San Antonio,Spurs,Spurs,SA,000000,c4ced4,https://a.espncdn.com/i/teamlogos/nba/500/sa.png
NBA,25,Oklahoma City Thunder,Oklahoma City,Thunder,Thunder,OKC,007ac1,ef3b24,https://a.espncdn.com/i/teamlogos/nba/500/okc.png
NBA,26,Utah Jazz,Utah,Jazz,Jazz,UTAH,4e008e,79a3dc,https://a.espncdn.com/i/teamlogos/nba/500/utah.png
NBA,27,Washington Wizards,Washington,Wizards,Wizards,WSH,e31837,002b5c,https://a.espncdn.com/i/teamlogos/nba/500/wsh.png
NBA,28,Toronto Raptors,Toronto,Raptors,Raptors,TOR,d91244,000000,https://a.espncdn.com/i/teamlogos/nba/500/tor.png
NBA,29,Memphis Grizzlies,Memphis,Grizzlies,Grizzlies,MEM,5d76a9,12173f,https://a.espncdn.com/i/teamlogos/nba/500/mem.png
NBA,30,Charlotte Hornets,Charlotte,Hornets,Hornets,CHA,008ca8,1d1060,https://a.espncdn.com/i/teamlogos/nba/500/cha.png
